variable_name,metadata
sensor_type,imaging spectrometer
make_model,
instrument_serial_num,
calibration_date,
foreoptic,
image_size,N/A
shutter_speed,N/A
focal_length,
fov,
iso,N/A
focus,
white_balance,N/A
quant,
file_format,
sensor_units,
accuracy,
precision,
sensitivity,
frame_rate,
spectral_response_function,
integration_time,
spectral_range,
spectral_res,
nav_system,
spatial_pixels,
f_number,
weight,
lidar_wavelength,N/A
lidar_channels,N/A
lidar_measurement_range,N/A
min_ang_res,N/A
ang_res,N/A
